"Route","Map","Length (mi)","Elevation (ft)","Lead-In (mi)","Badge XP","Difficulty","eventOnly"
"Jarvis Seaside Sprint","Watopia","7.8","312","1.7","250","1","false"
"Richmond UCI Reverse","Richmond","10.1","417","0","325","1","false"
"Mountain Mash","Watopia","3.5","1099","0.1","116","1","false"
"2015 UCI Worlds Course","Richmond","10.1","417","0.1","320","1","false"
"Tempus Fugit","Watopia","10.7","52","1.4","380","1","false"
"Scotland After Party","Scotland","8.5","623","0.7","275","1","false"
"Chain Chomper","Makuri Islands","8.5","604","1.4","270","1","false"
"Tick Tock","Watopia","10.4","174","1.4","388","1","false"
"Going Coastal","Watopia","10.3","207","1.4","308","1","false"
"2019 UCI Worlds Harrogate Circuit","Yorkshire","8.6","804","0.1","270","1","false"
"Kaze Kicker*","Makuri Islands","10.5","440","0.2","340","1","true"
"Countryside Tour","Makuri Islands","9.9","607","0.1","310","1","false"
"Red Zone Repeats","Makuri Islands","12.1","285","0.1","390","1","false"
"Island Hopper","Makuri Islands","11.2","423","0.1","360","1","false"
"The Double Borough","New York","11.1","482","0.1","360","1","false"
"Spirit Forest","Makuri Islands","5.2","443","2.9","170","1","false"
"London Loop","London","9.3","758","0.4","300","1","false"
"Neon After Party","Makuri Islands","10","463","0.7","340","1","false"
"Kappa Quest","Makuri Islands","5.7","459","2.4","180","1","false"
"Suki's Playground","Makuri Islands","11.4","492","0.1","365","1","false"
"Scotland Smash","Scotland","11.1","548","0.1","365","1","false"
"Whole Lotta Lava","Watopia","7.6","525","3","240","1","false"
"Flat Out Fast","Watopia","13.3","151","0.6","430","1","false"
"Ocean Lava Cliffside Loop","Watopia","11.9","515","0.1","380","1","false"
"Kappa Quest Reverse","Makuri Islands","5.6","456","3.2","180","1","false"
"Glasgow Crit Six*","Scotland","11.2","653","0.1","360","1","true"
"Richmond Rollercoaster","Richmond","3.1","62","7.5","100","1","false"
"Spinfinity","New York","12","509","0.5","390","1","false"
"Loopin Lava","Watopia","8.9","643","2.5","285","1","false"
"Electric Break","Makuri Islands","11.1","623","1.1","355","2","false"
"Jurassic Coast","Watopia","12.1","696","0.1","386","2","false"
"Mayan San Remo","Watopia","13","719","0.2","420","2","false"
"Hilltop Hustle","Watopia","8.5","1102","1.7","275","2","false"
"Hudson Hustle*","New York","12.6","709","0.1","405","2","true"
"Castle to Castle","Makuri Islands","13.9","459","0.5","460","2","false"
"London 8","London","12.6","719","0.4","410","2","false"
"Sand and Sequoias","Watopia","12.5","574","1.4","400","2","false"
"Hot Laps*","Watopia","14.5","489","0.1","465","2","true"
"Douce France","France","14.9","436","0.1","480","2","false"
"Downtown Eruption","Watopia","12.1","902","0.3","400","2","false"
"Casse-Pattes","France","14.3","509","0.6","460","2","false"
"Greater London Loop","London","13","728","0.4","420","2","false"
"R.G.V.","France","14.9","436","0.6","480","2","false"
"Hell of the North","France","12.3","791","0.2","395","2","false"
"Volcano Climb","Watopia","14.4","666","0","460","2","false"
"Queen's Highway After Party","Yorkshire","10.7","850","1.6","340","2","false"
"Wandering Flats","Makuri Islands","15.6","479","0.1","515","2","false"
"Neokyo All-Nighter","Makuri Islands","15.1","551","0.1","485","2","false"
"Mighty Metropolitan","New York","12.5","1037","0","400","2","false"
"Power Punches","Watopia","14.6","673","0.1","470","2","false"
"BRAEk-fast Crits and Grits","Scotland","12.9","692","0.8","415","2","false"
"Climb Control","Watopia","14.7","627","0.2","475","2","false"
"Turf N Surf","Makuri Islands","15.3","643","0.1","490","2","false"
"Triple Twist","Watopia","12.3","591","2.8","400","2","false"
"Southern Coast Cruise","Watopia","16.3","482","0","475","2","false"
"Watopia's Waistband","Watopia","15.8","315","1.4","555","2","false"
"Gentil 8","France","14.4","797","0.4","465","2","false"
"London Uprising","London","12.7","1168","0.2","420","2","false"
"Coast to Coast","Watopia","15","505","1.6","480","2","false"
"Rising Empire","New York","12.9","1230","0","410","2","false"
"The Muckle Yin","Scotland","14.5","925","0.1","470","2","false"
"LaGuardia After Party","New York","12.9","1070","0","420","2","false"
"Serpentine 8","Watopia","12.1","676","4.7","385","2","false"
"Greater London 8","London","14.8","906","0.4","480","2","false"
"Coastal Crown Loop","Watopia","9.3","607","5.3","300","2","false"
"Cobbled Crown*","Richmond","14.9","945","0.2","480","2","true"
"Downtown Titans","Watopia","15.3","958","0","490","2","false"
"Knickerbocker","New York","14","1194","0","450","2","false"
"Knickerbocker Reverse","New York","14","1194","0.1","450","2","false"
"Mayan 8","Watopia","14.4","791","1.9","460","2","false"
"The Magnificent 8","Watopia","18","512","0.1","580","2","false"
"Empire Elevation*","New York","15","856","1.1","485","2","true"
"Green to Screen","New York","17.6","679","0.1","575","2","false"
"The Highline","New York","6.5","587","6.2","210","2","false"
"Canopies and Coastlines","Watopia","14","407","3.2","444","2","false"
"Big Flat 8","Watopia","18.1","338","1.4","580","2","false"
"Waisted 8","Watopia","19.1","472","0.1","615","2","false"
"Roule Ma Poule","France","14.3","509","1.9","460","2","false"
"Bon Voyage","France","17.5","433","2","565","2","false"
"Libby Hill After Party","Richmond","20.5","335","0.1","660","2","false"
"Greatest London Loop","London","15.9","1168","0.4","510","2","false"
"Legends and Lava","Watopia","15.3","1155","0","490","2","false"
"Figure 8","Watopia","18.5","833","0","580","2","false"
"Watts the Limit","New York","18.3","656","0.9","595","2","false"
"Figure 8 Reverse","Watopia","18.5","833","0.1","580","2","false"
"Road to Ruins","Watopia","18.4","906","0","580","2","false"
"London Calling","London","19.4","679","0.3","625","2","false"
"2018 UCI Worlds Course Short Lap","Innsbruck","14.7","1621","0.1","470","2","false"
"Greatest London Flat","London","14.7","538","4.7","500","2","false"
"Petite Douleur","France","8.6","636","6.8","280","2","false"
"No Sleep Till Brooklyn","New York","19.8","810","0.1","675","2","false"
"Elevation Evaluation","Watopia","15.3","1299","1.9","490","2","false"
"Triple Flat Loops","Watopia","21.1","440","1.4","680","2","false"
"Neon Shore Loop*","Makuri Islands","20.4","705","0.7","660","2","true"
"Itza Climb Finish","Watopia","18.1","955","0.6","600","2","false"
"Peaky Pavé*","France","19","1211","0.1","610","2","true"
"Country to Coastal","Makuri Islands","20.8","902","0.1","665","2","false"
"Royal Pump Room 8","Yorkshire","17.1","1608","0","550","2","false"
"Tair Dringfa Fechan","Watopia","19.6","1145","0.3","625","2","false"
"Temples and Towers","Makuri Islands","20.3","1047","0.4","650","2","false"
"Three Musketeers","France","21.9","633","1.6","705","2","false"
"Stay Puft Pursuit","New York","19.4","1365","0.5","625","2","false"
"Chasing the Sun","Makuri Islands","21.8","1037","0","690","2","false"
"Spinfinity Ultra","New York","21.7","955","0.5","710","2","false"
"Danger Noodle","Watopia","19.9","1355","0.1","645","2","false"
"The Greenway","New York","22.5","951","0.4","805","2","false"
"Sugar Cookie","Watopia","20.9","823","3.5","660","2","false"
"Yorkshire Double Loop","Yorkshire","18.4","1795","0","580","2","false"
"Coast Crusher","Watopia","21.6","571","5","684","2","false"
"Ven-10","France","6.2","2562","0.9","200","2","false"
"Makuri 40","Makuri Islands","25","1010","0.1","800","2","false"
"Mountain Route","Watopia","18.4","2238","0","580","2","false"
"Everything Bagel","New York","21.6","1722","0.1","690","2","false"
"Three Little Sisters","Watopia","23.5","1424","0","755","3","false"
"Watts of the Wild","Watopia","26.1","1014","0.1","840","3","false"
"Double Parked","New York","26.2","1083","0.1","845","3","false"
"Out and Back Again","Watopia","25","1079","1.4","840","3","false"
"Mountain 8","Watopia","19.9","2267","0","640","3","false"
"Tropic Rush","Makuri Islands","25.6","1076","1","825","3","false"
"NYC KOM After Party","New York","23","1575","0","730","3","false"
"Tides and Temples","Watopia","22.7","1509","1.6","730","3","false"
"Radio Rendezvous","Watopia","12.7","2388","1.9","410","3","false"
"Glyph Heights","Watopia","15.7","1762","5.3","510","3","false"
"Lutscher CCW","Innsbruck","8.6","1319","5.5","270","3","false"
"Climber's Gambit","Watopia","17.2","2198","0.1","600","3","false"
"Three Step Sisters*","Watopia","23.5","1923","0.1","755","3","true"
"Lutscher","Innsbruck","8.5","1319","6.8","270","3","false"
"Triple Loops","London","25.4","1854","0.3","810","3","false"
"Richmond Loop Around","Richmond","26.2","1821","0.2","850","3","false"
"The Big Ring","Watopia","30.4","883","1.4","977","3","false"
"Mayan Mash","Watopia","21.5","2480","1.9","700","3","false"
"Snowman","Watopia","27.3","1893","0.1","880","3","false"
"Big Loop","Watopia","26.2","2169","0.3","840","3","false"
"Innsbruck KOM After Party","Innsbruck","22.9","2152","0.1","740","3","false"
"Road to Sky","Watopia","10.7","3428","0.1","380","3","false"
"Itza Party","Watopia","28.4","1657","0.3","920","3","false"
"Knights of the Roundabout","France","31.8","1102","2","1025","3","false"
"Eastern Eight","Watopia","32.1","1332","1.4","1345","3","false"
"Deca Dash","Watopia","30","1588","2.5","1000","3","false"
"Spiral Into the Volcano","Watopia","34.7","1102","0.1","1030","3","false"
"Muir and the Mountain","Watopia","21.1","2602","3.2","680","3","false"
"Peak Performance","Watopia","28.4","2382","0.6","920","3","false"
"Dust In the Wind","Watopia","32.4","1909","0.2","1080","3","false"
"Shisa Shakedown","Makuri Islands","30.6","1624","2.5","985","3","false"
"ZG25 Queen","Watopia","27.7","2940","0.1","895","3","false"
"The London Pretzel","London","34.6","1873","0.4","1100","3","false"
"Bigger Loop","Watopia","32.7","2267","0.3","1060","3","false"
"Shorelines and Summits","Watopia","28.6","2546","2.5","924","3","false"
"Three Sisters","Watopia","29.8","2943","0","950","3","false"
"Petit Boucle","France","37.8","1585","0.6","1220","3","false"
"La Reine","France","13.9","3940","0.2","460","3","false"
"Surrey Hills","London","24.4","2746","3.2","820","3","false"
"Achterbahn","Innsbruck","29.5","3245","0.1","950","4","false"
"Navig8","Watopia","39.7","1368","1.4","1280","4","false"
"Tour of Fire and Ice","Watopia","15.7","3829","1.7","500","4","false"
"Tire-Bouchon","France","37.9","1585","1.9","1220","4","false"
"Sacre Bleu","France","44.2","1299","0.3","1425","4","false"
"Ven-Top","France","13","5033","0.1","420","4","false"
"Big Foot Hills","Watopia","41.9","2323","1.4","1340","4","false"
"Accelerate to Elevate","Watopia","25.5","3783","1.4","825","4","false"
"Makuri Pretzel","Makuri Islands","48.2","2021","0.7","1550","4","false"
"Power to the Tower","Watopia","27.2","4902","0.6","900","4","false"
"The PRL Half","London","42.9","3310","0.4","1380","4","false"
"Fuhgeddaboudit","New York","49.1","2749","0","1595","5","false"
"Zwift Games 2024 Epic","Watopia","49.5","2694","1.2","1594","5","false"
"The Pretzel","Watopia","45.3","4469","0","1440","5","false"
"Quatch Quest","Watopia","29","5610","0","920","5","false"
"Four Horsemen","Watopia","55.1","6932","0.3","1780","5","false"
"The Mega Pretzel","Watopia","66.5","5381","2.3","2140","5","false"
"The Über Pretzel","Watopia","79.7","7661","0.3","2560","5","false"
"The PRL Full","London","107.5","8599","0.3","3460","5","false"
